epoch,mean_episode_reward,mean_jain_index,total_policy_loss,total_value_loss
371,581.6692820019907,0.7863572932534867,6.639346889260626,699.8835821808448
372,602.12602669078,0.8232914397682074,7.2232750745865895,685.5118985493624
373,619.8456716115493,0.8454655113798656,8.043757255783953,705.8028597936543
374,651.8459122992239,0.8688514231887791,9.42591624682148,731.75125529724
375,646.8323698897183,0.8717856969174456,10.632425213329837,699.0738284577506
376,657.8925691559053,0.8639189206708984,10.661170036264654,750.2119029620425
377,663.6255411965025,0.8648476516340213,9.301313895284734,780.0620456031313
378,682.9900666307348,0.9081127461001305,8.993535660331734,788.8280587096889
379,690.4715771420574,0.9396618116954,8.898240127944781,799.9889197405024
380,708.7084724335535,0.9433939941585271,8.451806513394253,807.7525194564347
381,740.9174249293467,0.9228636881703058,8.584776187541129,779.7476868588677
382,776.768823797092,0.8923999500746304,8.025854340269541,794.8361618614485
383,823.7345446741222,0.8910849448531706,7.470654813576343,870.0824446390722
384,780.2941276616349,0.847108825720769,7.910669263629675,850.0002756649677
385,749.6571431477134,0.861275954666756,8.154469977400874,827.4371304354986
386,711.2480111875866,0.8787251012323589,8.804671155359534,823.4700958843233
387,766.6471210690165,0.8573234059058359,7.279145984434795,795.7937730890735
388,765.2795405783515,0.8621901948922898,7.037909926578465,809.8759889496454
389,727.7333578526382,0.891065486973755,6.955758748185896,854.5678222131705
390,738.0151182439693,0.9002005513568306,7.5255260284181,872.4761646138631
391,757.2968010399956,0.9267836019594793,7.72204719811957,900.8363149174037
392,754.6047302113788,0.95,7.0456548960603005,972.8739322338363
393,753.3999916920485,0.921384497957639,7.173759310971089,945.631865934841
394,778.6192981617103,0.9083320183715912,6.727575877756309,870.0502366970197
395,765.0501085842379,0.859854431839012,5.143673054270586,900.4668229427916
396,788.6241133437629,0.8683635830747113,4.176696911141373,898.5583686971124
397,788.5160371710459,0.8451962892908604,5.680095212908523,933.6528603201393
398,781.887111956156,0.845734006070751,5.888478020856076,851.9834655831677
399,774.4717904805381,0.8320943211107951,4.886858010961161,840.7394538677295
400,828.4023862860238,0.8449111783361353,4.315679021178364,863.6427651219758
401,870.3830493836039,0.8634038519943906,4.375309391098538,837.7652940137529
402,891.3297487920115,0.8712735597028256,5.27050261112627,863.1721660810316
403,922.8163302515916,0.8605688554716142,6.587896676760596,871.0761502687276
404,985.0741564303496,0.8467850991098228,8.323860479925845,878.9925816072335
405,965.5316163219162,0.8371073824287364,8.003513171731525,895.9592194633102
406,981.2166809629812,0.8256333823499649,7.979158579470542,981.6500338077848
407,1033.0429760660024,0.8343598557434455,8.017162057638743,986.4512868765153
408,1051.4485152479149,0.8139040044394774,7.759785520215398,919.7079239214117
409,1063.4252089260733,0.8268479232335322,7.276599057916024,982.667394453013
410,1026.652239036003,0.7975604256293358,7.501050876475996,1024.5513265574991
411,1077.1700697797392,0.788382740371957,8.579731709907291,1023.0109877774709
412,1071.9912507815145,0.8060559391216905,9.232054588320711,959.9553014981009
413,1116.2874612732915,0.8336577662046395,8.606491886811181,975.7874428355973
414,1131.1083668617737,0.8388712415211176,8.056186732965761,948.9225081180753
415,1130.3417447320303,0.8623258219063049,8.599786887560194,934.097934834631
416,1153.4927060514806,0.8053549694937034,9.748552587932299,864.509383683507
417,1142.6194778093866,0.7829615716011805,8.453871112211393,910.9424551786478
418,1128.58844177003,0.7898916492357948,8.406950533332209,930.0240882675727
419,1130.8930985018376,0.7642318047520235,9.403217352779349,910.2738249411202
420,1084.195641542045,0.7556695015327052,10.903977143413659,944.2826946256599
421,1073.7360775098093,0.7486843474463366,10.582342092196276,1027.3526139680935
422,1085.1941410767558,0.757285180390158,11.612625546228118,1036.904180329154
423,1077.4228767021348,0.7533581834084585,11.541024286814054,1035.4152908687604
424,1099.251763011244,0.7543971011246045,12.273664364029633,1032.186627664417
425,1101.6108187207267,0.7144330874339623,13.189992038732115,1046.0461667003367
426,1131.5511220165163,0.6565079798700885,15.278366743512843,1040.4625815741297
427,1164.7966065186417,0.6357098613275779,15.891140648575412,998.3259590471835
428,1146.0835376977675,0.6739904884049136,15.700458247812065,1007.0232739743724
429,1172.1855696184302,0.6839041261643657,15.850877152955642,1021.6217140730214
430,1244.2880371755784,0.6827517502236939,16.05197619967061,1063.6478899133258
431,1277.453815164318,0.7064923563349016,16.690706421699794,1017.9276934041064
432,1326.456761133351,0.6835654484745278,16.993341886938826,987.7566594033322
433,1324.532610735561,0.6901406966805974,17.3146991023891,1004.6334895727435
434,1372.9439488073206,0.699211382710877,17.070542467098452,1043.1969763042778
435,1408.62806347506,0.6746592264081371,17.66794253694831,1071.2438859967137
436,1399.70115837426,0.7021733626743696,17.517886949915784,1076.2669441355754
437,1394.509003645744,0.7024849436259989,16.421611863020583,1018.6649088318036
438,1442.3441555424934,0.6855457166596324,15.430219513564277,932.529304287655
439,1423.1753031118083,0.6590839207914824,17.072234673700645,972.9219878613603
440,1402.5307927564766,0.7041326368983686,18.05400016069224,959.9287325210154
